retailer,region,slots,dollars,units,slot_share,dollar_share,index,gap_$,verdict
Costco,West,174,1830847.82,219414,0.01896251089799477,0.05664201688090843,0.3347781724980597,1217919.9326983436,UNDER
Costco,Southwest,153,1563674.79,191047,0.016673931996512643,0.048376327559234794,0.34467130594185985,1024720.9580623365,UNDER
Costco,Northeast,155,1250287.57,154303,0.016891891891891893,0.03868088263388816,0.4366987188935802,704288.5899324326,UNDER
Costco,Midwest,236,1504341.64,191538,0.025719267654751524,0.04654070296652699,0.5526188049469158,673014.1606713164,UNDER
Costco,Southeast,141,833544.8,103760,0.01536617262423714,0.025787866209761468,0.5958683242439264,336861.8568417612,UNDER
Regional Group,Southeast,110,425718.48,53506,0.011987794245858762,0.013170703248659234,0.9101863446114092,38235.332855274646,in-band
Whole Foods,Southeast,289,1087426.75,133336,0.031495204882301654,0.033642361564628236,0.9361769928605692,69402.84522885807,in-band
Regional Group,Midwest,147,515188.77,63085,0.016020052310374892,0.015938698284161296,1.0051041825852516,-2629.617547951204,in-band
Kroger,West,347,1182314.95,145040,0.03781604184829991,0.036577973671482106,1.0338473691281336,-40018.250538360764,in-band
Kroger,Midwest,419,1404020.5,174065,0.04566259808195292,0.04343700879636271,1.0512371672742018,-71938.03321490844,in-band
Whole Foods,West,297,983509.7,119269,0.032367044463818655,0.030427418609776744,1.063745987752595,-62694.79729075841,in-band
Sprouts,Midwest,330,1074198.84,137619,0.03596338273757629,0.033233121925301395,1.0821548098433769,-88250.60143417591,in-band
Kroger,Northeast,339,1093037.27,134718,0.03694420226678291,0.033815937524945175,1.0925085912383796,-101115.33801874438,in-band
Sprouts,Southwest,311,978127.17,121964,0.03389276373147341,0.03026089611031418,1.1200185086363432,-117393.364200087,in-band
Whole Foods,Midwest,441,1382401.95,171156,0.04806015693112467,0.04276818298754111,1.1237362350681386,-171053.2126438533,in-band
Whole Foods,Southwest,392,1221570.19,148793,0.042720139494333044,0.03779243614206806,1.1303886135770906,-159278.84346120319,in-band
Kroger,Southwest,546,1680190.86,213937,0.05950305143853531,0.05198105381323723,1.144706524271783,-243134.57946381826,in-band
Whole Foods,Northeast,309,948618.81,117144,0.033674803836094155,0.029347978604561068,1.1474317972570909,-139856.57607018278,in-band
Regional Group,Southwest,177,543030.92,66898,0.019289450741063644,0.016800067270197935,1.1481769942244033,-80464.6894965125,in-band
Walmart,Northeast,314,959781.83,118353,0.034219703574542286,0.029693335526296875,1.1524371704296,-146306.4263949433,in-band
Walmart,Southeast,547,1668975.65,206272,0.05961203138622494,0.051634082258745634,1.1545093623916987,-257872.36352877066,in-band
Sprouts,Northeast,240,730409.52,93567,0.026155187445510025,0.022597109333650802,1.1574572242548147,-115008.25558849162,in-band
Walmart,Midwest,498,1508962.17,184516,0.054272013949433304,0.04668365102337791,1.1625486173361923,-245279.7143461202,in-band
Kroger,Southeast,471,1276980.62,158226,0.051329555361813425,0.03950670123671607,1.299261992396106,-382151.7645924148,in-band
Sprouts,Southeast,213,576552.31,72333,0.02321272885789015,0.01783713824764898,1.3013706871364132,-173755.9658347863,OVER
Regional Group,West,42,111478.78,14207,0.004577157802964254,0.0034488846476727255,1.3271414589214738,-36469.330727986024,OVER
Walmart,West,828,2180489.58,269655,0.09023539668700958,0.06745908985434133,1.3376313982570354,-736201.7457802958,OVER
Walmart,Southwest,426,1121161.95,139968,0.0464254577157803,0.03468604730792547,1.338447627186753,-379454.6016695729,OVER
Sprouts,West,199,523196.13,67091,0.021687009590235395,0.016186426694647926,1.3398268808399971,-177796.10892545764,OVER
Regional Group,Northeast,85,163099.3,20153,0.009263295553618133,0.005045899065420057,1.8358067479193603,-136319.4955209241,OVER
